Time,FlowID,OldRate,NewRate
0.000817968,4,100.00,50.78
0.000820783,6,100.00,50.58
0.000820836,3,100.00,50.78
0.000821968,4,50.78,25.97
0.000824232,7,100.00,50.58
0.000824405,2,100.00,50.58
0.000824481,5,100.00,50.58
0.000824836,3,50.78,25.87
0.000825968,4,25.97,13.38
0.000827099,1,100.00,50.58
0.000828232,7,50.58,25.68
0.000828405,2,50.58,25.88
0.000828481,5,50.58,25.88
0.000828783,6,50.58,25.96
0.000828836,3,25.87,13.23
0.000829968,4,13.38,6.97
0.000831099,1,50.58,25.88
0.000832232,7,25.68,13.18
0.000832405,2,25.88,13.33
0.000832481,5,25.88,13.28
0.000832783,6,25.96,13.47
0.000832836,3,13.23,6.84
0.000833968,4,6.97,3.63
0.000835099,1,25.88,13.38
0.000836232,7,13.18,6.82
0.000836481,5,13.28,6.84
0.000836783,6,13.47,7.04
0.000836836,3,6.84,3.56
0.000837968,4,3.63,1.91
0.000839099,1,13.38,7.00
0.000840232,7,6.82,3.54
0.000840405,2,13.33,7.04
0.000840481,5,6.84,3.56
0.000840783,6,7.04,3.70
0.000840836,3,3.56,1.87
0.000841968,4,1.91,1.01
0.000843099,1,7.00,3.68
0.000844405,2,7.04,3.74
0.000844481,5,3.56,1.87
0.000844836,3,1.87,1.00
0.000845968,4,1.01,0.54
0.000848405,2,3.74,2.01
0.000848481,5,1.87,1.00
0.000848783,6,3.70,1.97
0.000848836,3,1.00,0.53
0.000849968,4,0.54,0.29
0.000851099,1,3.68,1.97
0.000852481,5,1.00,0.53
0.000852783,6,1.97,1.06
0.000853968,4,0.29,0.16
0.000855099,1,1.97,1.06
0.000856232,7,3.54,1.92
0.000856405,2,2.01,1.10
0.000856481,5,0.53,0.29
0.000856783,6,1.06,0.57
0.000860783,6,0.57,0.31
0.000861968,4,0.16,0.10
0.000868783,6,0.31,0.17
0.000879099,1,1.06,0.61
0.000891099,1,0.61,0.36
0.000895900,0,100.00,50.58
0.000899900,0,50.58,25.88
0.000903900,0,25.88,13.28
0.000907900,0,13.28,6.87
0.000911900,0,6.87,3.57
0.000915900,0,3.57,1.87
0.000919900,0,1.87,0.98
0.000923900,0,0.98,0.52
0.000927900,0,0.52,0.28
0.000931900,0,0.28,0.15
0.000939900,0,0.15,0.10
0.001148836,3,0.53,50.27
0.001156232,7,1.92,50.96
0.001156405,2,1.10,50.55
0.001156481,5,0.29,50.14
0.001161968,4,0.10,50.05
0.001168232,7,50.96,44.01
0.001168783,6,0.17,50.09
0.001172836,3,50.27,43.62
0.001176405,2,50.55,43.85
0.001180405,2,43.85,38.03
0.001180836,3,43.62,37.94
0.001184405,2,38.03,33.00
0.001184481,5,50.14,43.66
0.001184836,3,37.94,32.93
0.001188232,7,44.01,38.29
0.001188405,2,33.00,28.57
0.001188481,5,43.66,37.77
0.001188836,3,32.93,28.46
0.001191099,1,0.36,50.18
0.001192232,7,38.29,33.31
0.001192405,2,28.57,24.73
0.001192481,5,37.77,32.60
0.001196232,7,33.31,28.99
0.001196481,5,32.60,28.02
0.001196836,3,28.46,24.61
0.001200232,7,28.99,25.22
0.001200405,2,24.73,21.47
0.001200481,5,28.02,24.03
0.001200836,3,24.61,21.23
0.001204232,7,25.22,21.90
0.001204405,2,21.47,18.60
0.001204481,5,24.03,20.58
0.001204836,3,21.23,18.32
0.001208232,7,21.90,18.98
0.001208405,2,18.60,16.08
0.001208481,5,20.58,17.58
0.001208836,3,18.32,15.81
0.001212232,7,18.98,16.45
0.001212405,2,16.08,13.84
0.001212481,5,17.58,14.96
0.001212836,3,15.81,13.65
0.001216232,7,16.45,14.26
0.001216405,2,13.84,11.92
0.001216836,3,13.65,11.79
0.001217968,4,50.05,44.45
0.001220232,7,14.26,12.36
0.001220405,2,11.92,10.26
0.001220481,5,14.96,12.77
0.001220836,3,11.79,10.16
0.001221968,4,44.45,39.47
0.001223099,1,50.18,44.55
0.001224232,7,12.36,10.71
0.001224405,2,10.26,8.84
0.001224481,5,12.77,10.90
0.001224783,6,50.09,44.36
0.001225968,4,39.47,35.04
0.001228232,7,10.71,9.29
0.001228783,6,44.36,39.19
0.001228836,3,10.16,8.78
0.001229968,4,35.04,31.04
0.001231099,1,44.55,39.61
0.001232232,7,9.29,8.06
0.001232481,5,10.90,9.32
0.001232836,3,8.78,7.59
0.001233968,4,31.04,27.48
0.001235099,1,39.61,35.06
0.001236405,2,8.84,7.65
0.001236836,3,7.59,6.54
0.001237968,4,27.48,24.33
0.001239099,1,35.06,30.96
0.001240783,6,39.19,34.69
0.001240836,3,6.54,5.64
0.001243099,1,30.96,27.33
0.001245968,4,24.33,21.58
0.001247099,1,27.33,24.13
0.001248783,6,34.69,30.62
0.001249968,4,21.58,19.13
0.001251099,1,24.13,21.30
0.001252783,6,30.62,27.02
0.001255099,1,21.30,18.80
0.001256783,6,27.02,23.80
0.001295900,0,0.10,50.05
0.001532232,7,8.06,29.51
0.001532481,5,9.32,29.73
0.001536405,2,7.65,29.10
0.001540836,3,5.64,27.96
0.001595900,0,50.05,75.03
0.001895900,0,75.03,87.51
0.002195900,0,87.51,93.76
0.002495900,0,93.76,96.88
0.002795900,0,96.88,98.44
0.003095900,0,98.44,99.22
0.003395900,0,99.22,99.61
0.003695900,0,99.61,99.80
0.003995900,0,99.80,99.90
0.004295900,0,99.90,99.95
0.004595900,0,99.95,99.98
0.004812460,9,100.00,50.58
0.004814252,14,100.00,50.58
0.004814357,12,100.00,50.39
0.004816027,8,100.00,50.58
0.004816460,9,50.58,25.88
0.004818252,14,50.58,25.88
0.004818357,12,50.39,25.48
0.004820027,8,50.58,25.68
0.004820460,9,25.88,13.23
0.004821511,11,100.00,50.00
0.004822252,14,25.88,13.23
0.004822357,12,25.48,12.89
0.004824027,8,25.68,13.03
0.004824460,9,13.23,6.76
0.004825511,11,50.00,25.00
0.004826252,14,13.23,6.76
0.004826357,12,12.89,6.52
0.004828027,8,13.03,6.61
0.004828460,9,6.76,3.46
0.004829511,11,25.00,12.50
0.004830252,14,6.76,3.46
0.004830357,12,6.52,3.29
0.004832027,8,6.61,3.36
0.004832460,9,3.46,1.77
0.004833511,11,12.50,6.25
0.004834252,14,3.46,1.77
0.004834357,12,3.29,1.66
0.004836027,8,3.36,1.70
0.004836460,9,1.77,0.91
0.004837511,11,6.25,3.14
0.004838252,14,1.77,0.91
0.004838357,12,1.66,0.84
0.004840027,8,1.70,0.87
0.004840460,9,0.91,0.47
0.004841511,11,3.14,1.57
0.004842252,14,0.91,0.47
0.004842357,12,0.84,0.43
0.004843831,13,100.00,50.58
0.004844027,8,0.87,0.45
0.004844241,10,100.00,50.00
0.004844460,9,0.47,0.24
0.004845511,11,1.57,0.80
0.004846252,14,0.47,0.25
0.004846357,12,0.43,0.22
0.004847831,13,50.58,25.68
0.004848027,8,0.45,0.24
0.004848241,10,50.00,25.29
0.004848460,9,0.24,0.13
0.004849511,11,0.80,0.41
0.004850252,14,0.25,0.13
0.004850357,12,0.22,0.11
0.004851831,13,25.68,13.08
0.004852241,10,25.29,12.89
0.004852460,9,0.13,0.10
0.004855831,13,13.08,6.71
0.004856241,10,12.89,6.64
0.004857511,11,0.41,0.21
0.004860241,10,6.64,3.46
0.004895900,0,99.98,99.99
0.005148027,8,0.24,50.12
0.005150252,14,0.13,50.07
0.005150357,12,0.11,50.06
0.005152460,9,0.10,50.05
0.005155831,13,6.71,53.36
0.005157511,11,0.21,50.11
0.005160241,10,3.46,51.73
0.005168460,9,50.05,43.07
0.005169511,11,50.11,42.99
0.005170252,14,50.07,43.23
0.005170357,12,50.06,43.04
0.005172027,8,50.12,43.12
0.005172460,9,43.07,36.98
0.005173511,11,42.99,36.80
0.005174252,14,43.23,37.34
0.005174357,12,43.04,37.02
0.005176027,8,43.12,37.02
0.005176460,9,36.98,31.70
0.005177511,11,36.80,31.31
0.005178252,14,37.34,32.11
0.005178357,12,37.02,31.78
0.005180027,8,37.02,31.58
0.005180460,9,31.70,26.99
0.005181511,11,31.31,26.46
0.005182252,14,32.11,27.43
0.005182357,12,31.78,27.10
0.005184027,8,31.58,26.76
0.005184460,9,26.99,22.83
0.005185511,11,26.46,22.22
0.005186252,14,27.43,23.29
0.005186357,12,27.10,22.97
0.005188027,8,26.76,22.54
0.005188460,9,22.83,19.20
0.005189511,11,22.22,18.55
0.005190252,14,23.29,19.64
0.005190357,12,22.97,19.34
0.005192027,8,22.54,18.86
0.005192460,9,19.20,16.04
0.005193511,11,18.55,15.38
0.005194252,14,19.64,16.46
0.005194357,12,19.34,16.18
0.005195900,0,99.99,99.99
0.005196027,8,18.86,15.68
0.005196460,9,16.04,13.31
0.005197511,11,15.38,12.68
0.005198252,14,16.46,13.71
0.005198357,12,16.18,13.45
0.005200027,8,15.68,12.96
0.005200460,9,13.31,10.98
0.005201511,11,12.68,10.39
0.005202252,14,13.71,11.35
0.005202357,12,13.45,11.11
0.005204027,8,12.96,10.64
0.005204460,9,10.98,9.01
0.005205511,11,10.39,8.46
0.005206252,14,11.35,9.33
0.005206357,12,11.11,9.13
0.005208027,8,10.64,8.69
0.005208460,9,9.01,7.34
0.005209511,11,8.46,6.85
0.005210252,14,9.33,7.63
0.005210357,12,9.13,7.45
0.005212027,8,8.69,7.07
0.005212460,9,7.34,5.98
0.005213511,11,6.85,5.55
0.005214252,14,7.63,6.22
0.005214357,12,7.45,6.07
0.005216027,8,7.07,5.73
0.005217511,11,5.55,4.49
0.005218357,12,6.07,4.96
0.005220027,8,5.73,4.63
0.005220460,9,5.98,4.89
0.005221511,11,4.49,3.63
0.005222252,14,6.22,5.09
0.005224027,8,4.63,3.74
0.005224460,9,4.89,4.00
0.005225511,11,3.63,2.94
0.005226252,14,5.09,4.16
0.005226357,12,4.96,4.06
0.005228027,8,3.74,3.03
0.005229511,11,2.94,2.38
0.005230357,12,4.06,3.33
0.005232027,8,3.03,2.45
0.005234252,14,4.16,3.41
0.005236027,8,2.45,1.98
0.005236460,9,4.00,3.30
0.005238252,14,3.41,2.81
0.005238357,12,3.33,2.75
0.005495900,0,99.99,100.00
0.005529511,11,2.38,26.24
0.005536027,8,1.98,26.05
0.005536460,9,3.30,26.68
0.005538252,14,2.81,26.44
0.005538357,12,2.75,26.40
0.005576460,9,26.68,25.39
0.005580027,8,26.05,24.66
0.005582357,12,26.40,25.14
0.005584027,8,24.66,23.32
0.005584460,9,25.39,24.16
0.005585511,11,26.24,24.95
0.005590357,12,25.14,23.84
0.005592027,8,23.32,22.04
0.005593511,11,24.95,23.70
0.005594252,14,26.44,25.22
0.005596027,8,22.04,20.81
0.005596460,9,24.16,22.99
0.005597511,11,23.70,22.45
0.005598357,12,23.84,22.54
0.005600460,9,22.99,21.85
0.005601511,11,22.45,21.23
0.005602252,14,25.22,23.94
0.005602357,12,22.54,21.29
0.005604027,8,20.81,19.64
0.005604460,9,21.85,20.74
0.005605511,11,21.23,20.06
0.005606357,12,21.29,20.09
0.005609511,11,20.06,18.93
0.005612027,8,19.64,18.50
0.005614357,12,20.09,18.91
0.005618252,14,23.94,22.71
0.005620027,8,18.50,17.42
0.005620460,9,20.74,19.63
0.005622357,12,18.91,17.77
0.005624027,8,17.42,16.35
0.005625511,11,18.93,17.89
0.005626252,14,22.71,21.53
0.005626357,12,17.77,16.63
0.005628027,8,16.35,15.30
0.005628460,9,19.63,18.54
0.005630357,12,16.63,15.53
0.005633511,11,17.89,16.91
0.005634357,12,15.53,14.42
0.005636027,8,15.30,14.29
0.005637511,11,16.91,15.96
0.005638357,12,14.42,13.35
0.005640460,9,18.54,17.52
0.005641511,11,15.96,15.02
0.005642252,14,21.53,20.45
0.005642357,12,13.35,12.33
0.005646252,14,20.45,19.39
0.005646357,12,12.33,11.37
0.005648460,9,17.52,16.55
0.005649511,11,15.02,14.10
0.005650252,14,19.39,18.36
0.005650357,12,11.37,10.48
0.005652027,8,14.29,13.37
0.005652460,9,16.55,15.62
0.005653511,11,14.10,13.19
0.005654252,14,18.36,17.37
0.005654357,12,10.48,9.65
0.005658252,14,17.37,16.42
0.005660027,8,13.37,12.52
0.005666252,14,16.42,15.51
0.005668460,9,15.62,14.76
0.005670357,12,9.65,8.92
0.005672027,8,12.52,11.73
0.005672460,9,14.76,13.93
0.005674252,14,15.51,14.65
0.005676460,9,13.93,13.14
0.005795900,0,100.00,100.00
0.006095900,0,100.00,100.00
0.006395900,0,100.00,100.00
0.006695900,0,100.00,100.00
0.006995900,0,100.00,100.00
0.007295900,0,100.00,100.00
0.007595900,0,100.00,100.00
0.007895900,0,100.00,100.00
0.008195900,0,100.00,100.00
0.008495900,0,100.00,100.00
0.008795900,0,100.00,100.00
0.009095900,0,100.00,100.00
